"Each Product (step)","Each Product (step)"
"Define X product (leave blank for any product)","Define X product (leave blank for any product)"
"Max Number of Sets Discount is Applied To","Max Number of Sets Discount is Applied To"
"Define Product Set","Define Product Set"
"Set Items by SKU","Set Items by SKU"
"Set Items by Category IDs","Set Items by Category IDs"
"Number Of Gift Items","Number Of Gift Items"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Please, change the priority of this rule to 0. If more than one rule has priority 0, the discount can be calculated incorrectly </br>","Please, change the priority of this rule to 0. If more than one rule has priority 0, the discount can be calculated incorrectly </br>"
"WARNING: 'Product set' rules always have the highest prioity. If you have many rules and they work simultaneously, 'Product set' rule is applied before any other one. If you have multiple 'Product set' rules, they will be applied according to their priorities (still before all the other types of rules).","WARNING: 'Product set' rules always have the highest prioity. If you have many rules and they work simultaneously, 'Product set' rule is applied before any other one. If you have multiple 'Product set' rules, they will be applied according to their priorities (still before all the other types of rules)."
"Please see ","Please see "
"usage example","usage example"
"Special Promotions","Special Promotions"
Information,Information
General,General
"Check Special Options Values","Check Special Options Values"
"Show Rule Label if Discount Amount is 0","Show Rule Label if Discount Amount is 0"
"Disable this setting to hide the labels of Magento and Amasty cart price rules from order summary if discount amount is 0.","Disable this setting to hide the labels of Magento and Amasty cart price rules from order summary if discount amount is 0."
"Skip Settings","Skip Settings"
"Skip options are available for Amasty actions only.","Skip options are available for Amasty actions only."
"Skip Items with Special Price","Skip Items with Special Price"
"Skip Items with Tier Price","Skip Items with Tier Price"
"Skip Configurable Items when Child has Special Price","Skip Configurable Items when Child has Special Price"
"Discount Breakdown","Discount Breakdown"
"Show Discount Breakdown","Show Discount Breakdown"
"Discount Dropdown","Discount Dropdown"
Enabled,Enabled
"Enable this setting to allow customers to view and select applicable discounts by clicking on the Apply Coupon Code field. Please note that the setting does not take effect if Amasty Multiple Coupons extension is enabled.","Enable this setting to allow customers to view and select applicable discounts by clicking on the Apply Coupon Code field. Please note that the setting does not take effect if Amasty Multiple Coupons extension is enabled."
"Add Rule Name","Add Rule Name"
"When enabled, adds the cart price rule name to the discount dropdown.","When enabled, adds the cart price rule name to the discount dropdown."
"Add Rule Description","Add Rule Description"
"When enabled, adds the cart price rule description to the discount dropdown.","When enabled, adds the cart price rule description to the discount dropdown."
"Add Expiration Date","Add Expiration Date"
"When enabled, adds the cart price rule expiration date to the discount dropdown.","When enabled, adds the cart price rule expiration date to the discount dropdown."
Debug,Debug
"Enable Debug Mode","Enable Debug Mode"
"Show Debug Information Only For","Show Debug Information Only For"
"Comma separated IP addresses","Comma separated IP addresses"
"Please, change the priority of this rule to 0. If more than one rule has priority 0, the discount can be calculated incorrectly","Please, change the priority of this rule to 0. If more than one rule has priority 0, the discount can be calculated incorrectly"
"Max Amount of Discount","Max Amount of Discount"
"After N","After N"
"For the rule `Buy 2X, get 5Y` it is 2","For the rule `Buy 2X, get 5Y` it is 2"
"Number of Y Products","Number of Y Products"
"For the rule `Buy 2X, get 5Y` it is 5","For the rule `Buy 2X, get 5Y` it is 5"
"At first apply discount to","At first apply discount to"
"While operating, the setting sorts the products meeting
                    the conditions of the rule from the cheapest to the most expensive or vice versa depending on
                    the selected option. Then it provides a discount to each Nth item from this chain. <br><br>
                    For example, the setting is set to the ‘cheapest products’. A customer adds products
                    with the following prices: 78, 34, 56, 24, 44, 47. The setting sorts the products from the cheapest
                    to the most expensive: 24, 34, 44, 47, 56, 78. If we provide a discount, for instance,
                    to each 2nd item, the discount will be granted to these products: 34, 47, 78.","While operating, the setting sorts the products meeting
                    the conditions of the rule from the cheapest to the most expensive or vice versa depending on
                    the selected option. Then it provides a discount to each Nth item from this chain. <br><br>
                    For example, the setting is set to the ‘cheapest products’. A customer adds products
                    with the following prices: 78, 34, 56, 24, 44, 47. The setting sorts the products from the cheapest
                    to the most expensive: 24, 34, 44, 47, 56, 78. If we provide a discount, for instance,
                    to each 2nd item, the discount will be granted to these products: 34, 47, 78."
"Cheapest products","Cheapest products"
"Most expensive products","Most expensive products"
"Use For","Use For"
"All Products in Shopping Cart","All Products in Shopping Cart"
"The Same Product in Shopping Cart","The Same Product in Shopping Cart"
"Calculate Discount Based On","Calculate Discount Based On"
"Use General Skip Settings","Use General Skip Settings"
"Skip Items with:","Skip Items with:"
"Comma separated list of the SKUs. You can indicate child products SKUs of a Configurable or Grouped products and SKUs of a Bundle product in this field.","Comma separated list of the SKUs. You can indicate child products SKUs of a Configurable or Grouped products and SKUs of a Bundle product in this field."
"To make up a product set, items with these SKUs must be added to the cart","To make up a product set, items with these SKUs must be added to the cart"
"Comma separated list of the category ids","Comma separated list of the category ids"
"To make up a product set, items from these categories must be added to the cart. If you have two or more products from the same category, the cheapest is considered as item of the product set.","To make up a product set, items from these categories must be added to the cart. If you have two or more products from the same category, the cheapest is considered as item of the product set."
"Show Coupon Codes in the Discount Dropdown","Show Coupon Codes in the Discount Dropdown"
"Please note that enabling this setting will display all rule codes, including autogenerated ones, on the Cart and Checkout pages when selecting 'Apply Coupon Code.'","Please note that enabling this setting will display all rule codes, including autogenerated ones, on the Cart and Checkout pages when selecting 'Apply Coupon Code.'"
"To make up a product set, items from these categories must be added to the cart","To make up a product set, items from these categories must be added to the cart"
