(LogOut),(Keluar)
SET MY PASSWORD,ATUR KATA SANDI SAYA
SET NEW PASSWORD,ATUR KATA SANDI BARU
Set Password,Atur Kata Sandi
Set Your Password,Atur Kata Sandi Anda
Ship To,Dikirim Ke
Shiping,Pengiriman
Shipment Details,Detil Pengiriman
Shipment is delivered,Pengiriman terkirim
Shipment Status,Status Pengiriman
Shipping,Pengiriman
Shipping & Handling:,Pengiriman & Penanganan:
Shipping Address,Alamat Pengiriman
Shipping Information,Informasi Pengiriman
SHIPPING METHOD,METODE PENGIRIMAN
Shipping:,Pengiriman:
SHOES,SEPATU
SHOP,BELANJA
SHOPPING BAG,TAS BELANJA
Shopping Cart,Keranjang Belanja
Show,Tunjukkan
Show…per page,Tunjukkan … per halaman
SIGN IN,MASUK
Sign In,Masuk
SIGN IN WITH FACEBOOK,MASUK DENGAN FACEBOOK
SIGN IN WITH GOOGLE,MASUK DENGAN GOOGLE
SIGN IN WITH YOUR ASICS ID,MASUK DENGAN ID ASICS ANDA
Sign Up,Daftar
Sign Up for Newsletter,Daftar Untuk Newsletter
SIGN UP FOR OUR NEWSLETTER,DAFTAR UNTUK NEWSLETTER
Sign up for our newsletter and receive 10% off your first purchase.,Daftar untuk newsletter kami dan dapatkan diskon 10% untuk pembelian pertama Anda.
Sign up for our newsletter to receive special offers and exclusive news about Onitsuka Tiger products.,Daftar untuk mendapatkan newsletter kami untuk menerima penawaran khusus dan berita eksklusif tentang produk Onitsuka Tiger.
Sign Up With Email,Daftar Dengan Email
Sign Up with Facebook,Daftar dengan Facebook
Sign Up with Google,Daftar dengan Google
Sign-in Information,Informasi Masuk
Site Map,Situs Map
Size guide,Panduan ukuran
Size Guide,Panduan Ukuran
Size Guide(Women' shoes),Panduan Ukuran (Sepatu wanita)
SIZES,UKURAN
Soccer,Sepak Bola
Some of the products below do not have all the required options.,Beberapa produk di bawah ini tidak memiliki semua opsi yang diperlukan.
Some of the selected options are not currently available.,Beberapa opsi yang dipilih saat ini tidak tersedia.
Something went wrong during the item options declaration.,Ada yang tidak beres selama deklarasi opsi produk.
"Sorry for the inconveience, but we're currently doing site maitenance to improve your experience. Please come back in a while.","Maaf atas ketidaknyamanannya, tetapi saat ini kami sedang melakukan pemeliharaan situs untuk meningkatkan pengalaman Anda. Silakan kembali sebentar lagi."
Sort by,Sortir sesuai
Sort By,Sortir Sesuai
Standard,Standar
State,Negara
Status updated date,Tanggal pembaruan status
Stock Available,Tanggal pembaruan status
STORE,TOKO
STORE FINDER,TEMUKAN TOKO
Store Returns (For Click & Collect orders),Pengembalian Toko (Untuk pesanan Click & Collect)
Stored Credit/Debit Cards,Kartu Kredit/Debit Tersimpan
Strong,Kuat
Sub Total (Inclusive of VAT),Sub Total (Sudah Termasuk PPN)
SUBMIT,MASUKKAN
Subscribe,Langganan
Subtotal (Exclusive of GST),Subtotal (Tidak Termasuk GST)
Subtotal (Inclusive of %1):,Subtotal (Termasuk %1):
Subtotal (Inclusive of GST),Subtotal (Termasuk GST)
Subtotal (Inclusive of VAT):,Subtotal (Termasuk PPN):
Subtotal  (Inclusive of VAT),Subtotal (Termasuk PPN)
Sun,Minggu
Sunday,Minggu
TALES,DONGENG
Tax,Pajak
Tax ID,ID Pajak
TAX INVOICE,FAKTUR PAJAK
TAX INVOICE / RECEIPT,FAKTUR/ PENERIMAAN PAJAK
Tax Invoice Date,Tanggal Faktur Pajak
Tax Invoice No,Nomor Faktur Pajak
Telephone,Telepon
Terms & Conditions,Syarat & Ketentuan
Terms and Conditions,Syarat dan Ketentuan
Terms of Use,Syarat Penggunaan
Tesco Lotus Payment,Pembayaran Tesco Lotus
Thank You,Terima kasih
Thank you for registering with %1.,Terima kasih telah mendaftar ke Onitsuka Tiger.
Thank you for your order,Terima kasih atas pesanan Anda
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Email atau kata sandi tidak valid.</br>Kami baru saja memperbarui platform E-commerce kami. Jika Anda memiliki akun terdaftar, silakan ubah kata sandi dengan klik ""Lupa Kata Sandi Anda?"""
The application would like to access your ASICS account information:,Aplikasi ingin mengakses informasi akun ASICS Anda:
The email field is empty.,Kolom email kosong
The email is invalid,Email tidak valid
The first name field is empty.,Kolom nama depan kosong.
The following user and the associated data will be deleted from our servers:,Pengguna berikut dan data terkait akan dihapus dari server kami:
The new password field is empty.,Kolom kata sandi baru kosong.
The old password field is empty.,Kolom kata sandi lama kosong.
The options you selected are not available.,Opsi yang Anda pilih tidak tersedia.
The order wasn't placed.,Pemesanan tidak dapat dilakukan.
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Pemesanan tidak dapat dilakukan. Pertama, setujui syarat dan ketentuan, lalu coba lakukan pemesanan lagi."
The password field is empty.,Kolom kata sandi kosong.
The password must have at least 6 characters.,Kata sandi harus memiliki minimal 6 karakter.
The password must have at least 8 characters.,Kata sandi harus memiliki minimal 8 karakter.
The password must have at most 72 characters.,Kata sandi harus memiliki paling banyak 72 karakter.
The password you have entered is invalid. Please try again.,Kata sandi yang Anda masukkan tidak valid. Silakan coba lagi.
The required options you selected are not available.,Opsi wajib yang Anda pilih tidak tersedia.
The Wish List item can't load at this time. Please try again later.,Produk dalam Daftar Keinginan tidak dapat dimuat saat ini. Silakan coba lagi nanti.
There are no Shipping Addresses saved for this account.,Tidak ada Alamat Pengiriman yang disimpan untuk akun ini.
"There is already an account with this email address. If you are sure that it is your email address, <a href='%1'>click here</a> to get your password and access your account.","Telah ada akun dengan alamat email ini. Jika Anda yakin bahwa itu adalah alamat email Anda, <a href='%1'>klik di sini</a> untuk mendapatkan sandi dan mengakses akun Anda."
There was an error confirming the account,Terjadi kesalahan saat mengkonfirmasi akun
This confirmation key is invalid or has expired.,Kode konfirmasi ini tidak valid atau telah kedaluwarsa.
This is a required field.,Kolom ini harus diisi
This is embarrassing but we can't seem to find the page youre looking for. Either the page doesn't exist or an error occurred. Try refreshing your browswe or going back to the previous page.,Ini memalukan tetapi kami tidak dapat menemukan halaman yang Anda cari. Halaman tidak ada atau terjadi kesalahan. Coba segarkan browser Anda atau kembali ke halaman sebelumnya.
This product(s) is out of stock.,Produk ini sudah habis.
This site has been temporarily shut down for maintenance.,Situs ini ditutup sementara untuk pemeliharaan.
This wish list can be shared %1 more times.,Daftar keinginan ini dapat dibagikan %1 kali lagi.
Thu,Kamis
Thursday,Kamis
To be returned,Akan dikembalikan
To subscribe maillist Valid Email address is needed.,Untuk berlangganan maillist Diperlukan alamat Email yang valid.
Total Due(Inclusive of %1):,Total Jatuh Tempo (Termasuk %1):
Total Due(Inclusive of VAT):,Total Jatuh Tempo (Termasuk PPN):
Total Order Price:,Total Harga Pesanan:
Total Price (Inclusive of VAT):,Total Harga (Termasuk PPN):
Track and Field,Trek dan Lapangan
TRACK ORDER,LACAK PESANAN
TRACK YOUR ORDER,LACAK PESANAN ANDA
Track your orders,Lacak pesanan Anda
Tracking Number,Nomor Pengiriman
Try your search again using these tips:,Coba telusuri lagi menggunakan tips berikut:
Tue,Selasa
Tuesday,Selasa
Unit Price,Harga Unit
Update,Perbarui
Update Account Email,Perbarui Akun Email
Update Email,Perbarui Email
Update Shopping Cart,Perbarui Keranjang Belanja
Use a more general term,Gunakan istilah yang lebih umum
Use a new card,Gunakan kartu baru
Use my Delivery Address as my Billing Address,Gunakan Alamat Pengiriman saya sebagai Alamat Penagihan
User Account Deleted,Akun Pengguna Dihapus
User ID,identitas pengguna
User not found,Pengguna tidak ditemukan
UserName,Nama Pengguna
UserName or Email,Nama Pengguna atau Email
View All,Lihat Semua
VIEW AND EDIT CART,LIHAT DAN UBAH KERANJANG
View Cart,Lihat Keranjang
View details,Lihat detil
View Details,Lihat Detil
View Full Details,Lihat Detil Penuh
View Order,Lihat Pesanan
We can't add the item to Wish List right now: %1.,Kami tidak dapat menambahkan produk ke Daftar Keinginan sekarang: %1.
We can't add the item to Wish List right now.,Kami tidak dapat menambahkan produk ke Daftar Keinginan sekarang.
We can't add this item to your shopping cart right now.,Kami tidak dapat menambahkan produk ini ke keranjang belanja Anda sekarang.
We can't configure the product right now.,Kami tidak dapat mengonfigurasi produk sekarang.
We can't delete item from Wish List right now.,Kami tidak dapat menghapus produk dari Daftar Keinginan sekarang.
We can't delete the item from the Wish List right now.,Kami tidak dapat menghapus produk dari Daftar Keinginan sekarang.
We can't delete the item from Wish List right now because of an error: %1,Kami tidak dapat menghapus produk dari Daftar Keinginan sekarang karena kesalahan: %1
We can't specify a product.,Kami tidak dapat menentukan produk.
We don't have as many of some products as you want.,Kami tidak memiliki produk sebanyak yang Anda inginkan.
We don't have some of the products you want.,Kami tidak memiliki beberapa produk yang Anda inginkan.
We found an item options declaration error.,Kami menemukan kesalahan pada deklarasi opsi produk.
We have a 7 days return policy from the date of receiving your ordered goods.,Kami memiliki kebijakan pengembalian 7 hari sejak tanggal penerimaan produk pesanan Anda.
We need your date of birth to generate personalized training plans for you.,Kami membutuhkan tanggal lahir Anda untuk membuat rencana pelatihan yang dipersonalisasi untuk Anda.
We received too many requests for password resets. Please wait and try again later or contact %1.,Kami menerima terlalu banyak permohonan untuk pengaturan ulang kata sandi. Mohon tunggu dan coba lagi nanti atau hubungi %1.
We require everyone to use the name that they use in everyday life – what their friends call them – on Facebook. Learn more about our name policies.,Kami mewajibkan setiap orang untuk menggunakan nama yang mereka gunakan dalam kehidupan sehari-hari – begitulah teman mereka memanggil mereka – di Facebook. Pelajari lebih lanjut tentang kebijakan nama kami.
"We sent a confirmation email to your new address, please check your inbox.","Kami telah mengirimkan email konfirmasi ke alamat baru Anda, silakan periksa kotak masuk Anda."
"We sent you a confirmation email, please check your inbox.","Kami telah mengirimkan email konfirmasi kepada Anda, silakan periksa kotak masuk Anda."
"We sent you an email to reset your password, please check your inbox.","Kami mengirimi Anda email untuk mengubah kata sandi Anda, silakan periksa kotak masuk Anda."
We will contact you thereafter to arrange for a pick up of your order.,Kami akan menghubungi Anda setelahnya untuk mengatur pengambilan pesanan Anda.
"We will email you occasionally with the latest news about the products, services, online tools, events and promotions of our brands (ASICS, ASICS Tiger, Onitsuka Tiger, Haglöfs and Runkeeper). To understand what is relevant to you we use automatic tools to analyze your personal data. For more information see our privacy policy.","Kami akan mengirimkan email kepada Anda sesekali dengan berita terbaru tentang produk, layanan, online tools, event, dan promosi merek kami (ASICS, ASICS Tiger, Onitsuka Tiger, Haglöfs, dan Runkeeper). Untuk memahami apa yang relevan bagi Anda, kami secara otomatis untuk menganalisis data pribadi Anda. Untuk informasi lebih lanjut, lihat kebijakan privasi kami."
We'll be back soon!,Kami akan segera kembali!
"We're sorry, no products were found for your search: ","Maaf, tidak ada produk yang ditemukan untuk pencarian Anda:"
We're unable to send the password reset email.,Kami tidak dapat mengirim email pengaturan ulang kata sandi.
Weak,Lemah
Wed,Rabu
Wednesday,Rabu
Welcome to,Selamat Datang di
What are the benefits?,Apa saja manfaatnya?
What's your name?,Siapa nama Anda?
wide,Lebar
width Guide,Panduan lebar
WISH LIST,DAFTAR KEINGINAN
WOMEN,WANITA
women running shoes,sepatu lari wanita
Wrong item sent,Salah kirim produk
Year,Tahun
Yes,Iya
You appear to have already created an account. Please check your email for a password reset link.,Anda tampaknya telah membuat akun. Silakan periksa email Anda untuk tautan reset kata sandi.
You are signed out,Anda keluar
"You are subscribed to ""General Subscription"".","Anda berlangganan ""Langganan Umum""."
You aren't subscribed to our newsletter.,Anda belum berlangganan newsletter kami.
"You can further track this order from the <a href=""%1"">My Accounts</a> section","Anda dapat melacak lebih lanjut pesanan ini dari bagian <a href=""%1"">Akun Saya</a>"
You can pay using Master or Visa Credit Card,Anda dapat membayar menggunakan Kartu Kredit Master atau Visa
You can use your new password next time you login.,Anda dapat menggunakan kata sandi baru Anda saat Anda masuk pada kesempatan selanjutnya.
You have no items in your wishlist. Start adding!,Anda tidak memiliki produk dalam daftar keinginan Anda. Mulai tambahkan!
You have no stored cards.,Anda tidak memiliki kartu yang tersimpan.
You have not set a default billing address.,Anda belum menetapkan alamat penagihan default.
You have not set a default shipping address.,Anda belum menetapkan alamat pengiriman default.
You have placed no return request.,Anda tidak mengajukan permohonan pengembalian.
You have requested to change your email address.,Anda telah meminta untuk mengubah alamat email Anda.
You have signed out and will go to our homepage in 5 seconds.,Anda telah keluar dan akan masuk ke beranda kami dalam 5 detik.
You have successfully signed up to receive ASICS newsletters.,Anda telah berhasil mendaftar untuk menerima newsletter ASICS.
You have the right to cancel and return your order within %1 days of receiving your ordered goods.,Anda berhak untuk membatalkan dan mengembalikan pesanan Anda dalam %1 hari setelah menerima produk pesanan Anda.
You have the right to cancel and return your order within 7 days of receiving your ordered goods.,Anda berhak untuk membatalkan dan mengembalikan pesanan Anda dalam waktu 7 hari setelah menerima produk pesanan Anda.
You must be at least sixteen (16) years of age to subscribe.,Anda harus berusia minimal enam belas (16) tahun untuk berlangganan.
You must login or register to add items to your wishlist.,Anda harus masuk atau mendaftar untuk menambahkan produk ke daftar keinginan Anda.
You need to agree with the ASICS terms and conditions.,Anda harus menyetujui syarat dan ketentuan ASICS.
You saved the account information.,Anda menyimpan informasi akun.
You will need to fill in the above Return Form and hand it over to the store in order to process your return.,Anda harus mengisi Formulir Pengembalian di atas dan menyerahkannya ke toko untuk memproses pengembalian Anda.
You will need to fill in the above Return Form and insert it into your return parcel.,Anda harus mengisi Formulir Pengembalian di atas dan memasukkannya ke dalam paket pengembalian Anda.
You'll use this when you log in and if you ever need to reset your password.,Anda akan menggunakan ini ketika Anda masuk dan jika Anda perlu mengatur ulang kata sandi Anda.
You're In,Anda masuk
You're signed in!,Anda masuk!
Your Email ID and password combination did not match.,ID Email dan kombinasi kata sandi Anda tidak cocok.
Your order is pending payment processing.,Pesanan Anda sedang menunggu pemrosesan pembayaran.
Your password must be at least 6 characters long. Please try another.,Kata sandi Anda setidaknya harus terdiri dari 6 karakter. Silakan coba yang lain.
Your password reset link has expired.,Tautan pengaturan ulang kata sandi Anda telah kedaluwarsa.
YOUR PAYMENT,PEMBAYARAN ANDA
Your Payment,Pembayaran Anda
Your session has expired,Sesi Anda telah berakhir
Your Shipping Information,Informasi Pengiriman Anda
Your Shopping Cart is Empty,Keranjang Belanja Anda kosong
-- Select Country --,-- Pilih Negara --
%1 product(s) have been added to shopping cart: %2.,%1 produk telah ditambahkan ke keranjang belanja: %2.
%1 has been added to your Wish List.,%1 telah ditambahkan ke Daftar Keinginan Anda.
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href=""%1"">di sini</a> untuk melanjutkan belanja."
%1 has been removed from your Wish List.,%1 telah dihapus dari Daftar Keinginan Anda.
1. Print out the shipping label and packing slip in just one click. See the buttons below:,1. Cetak label pengiriman dan slip kemasan hanya dalam satu klik. Lihat tombol-tombol di bawah ini:
14 days to return,14 hari untuk pengembalian
"2. If possible, put your purchase(s) in the original package. We remind you that only returns that are in good condition are refunded. Prior to sending your return, make sure you’ve removed all additional labels from the package. Then put the packing slip you’ve printed into the package.","2. Jika memungkinkan, masukkan pembelian Anda ke dalam paket aslinya. Kami mengingatkan Anda bahwa hanya pengembalian yang dalam kondisi baik yang dikembalikan. Sebelum mengirim pengembalian, pastikan Anda telah menghapus semua label tambahan dari paket. Kemudian masukkan slip pengepakan yang telah Anda cetak ke dalam paket."
3. Now place the shipping label you’ve printed onto the package.,3. Sekarang tempatkan label pengiriman yang telah Anda cetak ke dalam paket.
"4. You should send the package with a pre-paid traceable method like Insured Parcel Post or UPS. NOTE: Some charges are non-refundable. We don’t return Shipping and Handling costs, gift box costs and other charges.","4. Anda harus mengirimkan paket dengan metode prabayar yang dapat dilacak seperti Pos Paket Tertanggung atau UPS. CATATAN: Beberapa biaya tidak dapat dikembalikan. Kami tidak mengembalikan biaya Pengiriman dan Penanganan, biaya kotak hadiah, dan biaya lainnya."
404:Page not found,404: Halaman tidak ditemukan
Page not found.,Halaman tidak ditemukan.
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Halaman tidak ditemukan.</p>"
A customer with the same email address already exists in an associated website,Pelanggan dengan alamat email yang sama sudah ada di situs web terkait
ADDED,DITAMBAHKAN
ADDING...,MENAMBAHKAN..
ALL ACCESSORIES,SEMUA AKSESORIS
ALL CLOTHING,SEMUA PAKAIAN
ALL SHOES,SEMUA SEPATU
APPAREL & ACCESSOREIS,APPAREL & AKSESORIS
APPROVED,DISETUJUI
Are you sure to delete the selected address from this account?,Apakah Anda yakin akan menghapus alamat yang dipilih dari akun ini?
BAGS & BACKPACKS,TAS & RANSEL
BOTTOMS,BAWAHAN
Cancel Return Request,Batalkan Permohonan Pengembalian
Change your search query,Ubah kueri penelusuran Anda
Check / Money order,Check /Money Order (Wesel)
Check order details,Cek detil pesanan
Closed,Tutup
Closed on,Tutup pada
Tutup on,Tutup pada
COLORS,WARNA
Colors,Warna
Colors:,Warna:
COLORS:,WARNA:
Completed,Lengkap
CONTEMPORARY,KONTEMPORER
CONTEMPORARY COLLECTION,KOLEKSI KONTEMPORER
Created At,Dibuat Di
Current customer does not have an active cart.,Pelanggan saat ini tidak memiliki keranjang aktif.
Customer Address,Alamat Pelanggan
Customer name,Nama pelanggan
Damaged During Shipping,Rusak Selama Pengiriman
Defective/Does not Work Properly,Cacat/Tidak Berfungsi Dengan Benar
Delivery Failed,Pengiriman Gagal
Delivery Failed on,Pengiriman Gagal pada
DENTIGRE BB | SHOP NOW,DENTIGRE BB | BELANJA SEKARANG
DENTIGRE MX | SHOP NOW,DENTIGRE MX | BELANJA SEKARANG
DENTIGRE TAI-CHI | SHOP NOW,DENTIGRE TAI-CHI | BELANJA SEKARANG
Do you want to remove selected item from Wishlist?,Apakah Anda ingin menghapus produk yang dipilih dari Daftar Keinginan?
DRESSES,GAUN
"Error with payment method please select different payment method.","Kesalahan dengan metode pembayaran, mohon pilih metode pembayaran yang berbeda"
Exclusive Offer,Penawaran Eksklusif
First character must be letter.,Karakter pertama harus huruf.
Flat Rate,Tarif Tetap
FOLLOW US,IKUTI KAMI
FOR ALL NEW,UNTUK SEMUA YANG BARU
For uncommonly cool kids,Untuk anak-anak yang sangat fashionable
HATS & CAPS,TOPI
HAVE AN ONITSUKA TIGER ID? LOGIN HERE,PUNYA ID TIGER ONITSUKA? MASUK DISINI
Have an Onitsuka Tiger ID? login here,Punya Id Tiger Onitsuka? Masuk Disini
HERITAGE COLLECTION,KOLEKSI HERITAGE
HI ...,HAI…
Invalid Form Key. Please refresh the page.,Kunci Formulir Tidak Valid. Mohon segarkan halaman.
Item Price,Harga Produk
Item Status,Status Produk
Items,Produk
Items Conditions:,Kondisi Produk:
JACKETS & SWEATSHIRTS,JAKET & SWEATSHIRT
KEEP IN TOUCH,TETAP BERHUBUNGAN
KIDS COLLECTION | SHOP NOW,KOLEKSI ANAK | BELANJA SEKARANG
Late Delivery of Items,Pengiriman Produk Terlambat
Logistics,Logistik
Medium,Sedang
NEW,BARU
New Return for Order %1,Pengembalian Baru untuk Pesanan %1
No,Tidak
No details for the specified OrderNo and Email/MobileNo.,Tidak ada detail untuk No Pesanan dan Email/No handphone yang ditentukan.
No Longer Needed/Wanted,Tidak Lagi Dibutuhkan/Dicari
No Payment method available.,Tidak ada metode Pembayaran yang tersedia.
Not yet calculated,Belum dihitung
of,dari
Official Onitsuka Tiger Store,Toko Onitsuka Tiger Resmi
ONITSUKA TIGER IS A REGISTERED TRADEMARK OF ASICS CORPORATION,ONITSUKA TIGER ADALAH MERK DAGANG YANG TERDAFTAR ASICS CORPORATION
Onitsuka Tiger kids collection,Koleksi anak-anak Onitsuka Tiger
Oops! Something went wrong.,Ups! Ada yang salah.
Order ID and email are required.,ID pesanan dan email diperlukan.
Packed,Dikemas
Packed on,Dikemas pada
Dikemas on,Dikemas pada
Page Not Found | Onitsuka Tiger Korea,Halaman Tidak Ditemukan | Onitsuka Tiger Korea
PANTS & SHORTS,CELANA & CELANA PENDEK
PANTS & SKIRTS,CELANA & ROK
Payment mode,Metode pembayaran
Pending,Tertunda
Pending on,Tertunda pada
Tertunda on,Tertunda pada
PLEASE CHOOSE YOUR LOCATION AND LANGUAGE,SILAKAN PILIH LOKASI DAN BAHASA ANDA
Please enter a valid date.,Mohon masukkan tanggal yang valid.
Please enter a valid number in this field.,Mohon masukkan nomor yang valid di kolom ini.
Please enter city or postcode here,Silakan masukkan kota atau kode pos disini
Please include an '@' in the email address. 'xxxx' is missing an '@'.,Mohon sertakan '@' di alamat email. 'xxxx' tidak memiliki '@'.
Please read our Disclaimer here,Silakan baca Disclaimer kami di sini
Please Select Qty for .,Silakan Pilih Qty untuk .
Please use a valid email address,Mohon gunakan alamat email yang valid
Postal code,Kode Pos
Previous,Sebelumnya
Print Packing Slip,Cetak Slip Pengemasan
Processing,Diproses
Processing on,Diproses pada
Diproses on,Diproses pada
Product Did Not Meet My Expectations,Produk Tidak Memenuhi Harapan Saya
Provided Zip/Postal Code seems to be invalid.,Kode Pos/Kode Pos yang diberikan tampaknya tidak valid.
" Example: "," Contoh: "
If you believe it is the right one you can ignore this notice.,"Jika Anda yakin itu yang benar, Anda dapat mengabaikan pemberitahuan ini."
RECOMMENDED FOR YOU,DIREKOMENDASIKAN UNTUK ANDA
Recycled Leather,Kulit Daur Ulang
RECYCLED LEATHER | SHOP NOW,KULIT DAUR ULANG | BELANJA SEKARANG
Registered Customers,Pelanggan Terdaftar
REJECTED,DITOLAK
Remove item,Hapus produk
Remove Item,Hapus Produk
Reorder,Pesan lagi
Return Details,Detil Pengembalian
Return Reason:,Alasan Pengembalian:
Return Request successfully closed.,Buat Permohonan Pengembalian Baru
Return Resolution:,Resolusi Pengembalian:
Returns: how it works,Pengembalian: bagaimana cara kerjanya
Rma request for this product is already created. Existing Return(s):,Permohonan Rma untuk produk ini sudah dibuat. Pengembalian yang Ada:
Search results for:,Hasil pencarian:
SET A NEW PASSWORD,ATUR KATA SANDI BARU
Set a New Password,Atur Kata Sandi Baru
Set Ascending Direction,Tetapkan ke Atas
Set Descending Direction,Tetapkan ke Bawah
Shipped,Dikirim
Shipped on,Dikirim ke
Dikirim on,Dikirim ke
Shipping Details,Detil Pengiriman
Shipping Mode:,Metode Pengiriman:
Shop Confidently,Belanja Dengan Kenyamanan
SIGN UP TO MAILING LIST,DAFTAR KE MAILING LIST
SIGN UPS,DAFTAR
Size (Unisex),Ukuran (Uniseks)
Unisex,Uniseks
Women,Wanita
Men,Pria
Kids,Anak-Anak
UNISEX,UNISEKS
WOMEN,WANITA
MEN,PRIA
KIDS,ANAK-ANAK
MEN SHOES,PRIA SEPATU
WOMEN SHOES,WANITA SEPATU
UNISEX SHOES,UNISEKS SEPATU
KIDS SHOES,UNISEKS SEPATU
Size (Women),SEPATU (Wanita)
So your return request got approved. That’s a win!,Permohonan pengembalian Anda disetujui. Itu adalah kemenangan!
SOCKS,KAUS KAKI
Some of the products are out of stock.,Beberapa produk sudah habis.
Something went wrong while saving the new password.,Terjadi masalah saat menyimpan kata sandi baru.
South Korea,Korea Selatan
SPRING / SUMMER 2021,MUSIM SEMI / MUSIM PANAS 2021
SPRING / SUMMER 2021 | DISCOVER MORE,MUSIM SEMI / MUSIM PANAS 2021 | TEMUKAN LEBIH LANJUT
Stock Available,Stok Tersedia
Stock Pending,Stok Tertunda
Stock Pending on,Stok Tertunda pada
Stok Tertunda on,Stok Tertunda pada
SUPPORT,BANTUAN
TAI-CHI-REB SOCK | SHOP NOW,KAOS KAKI TAI-CHI-REB | BELANJA SEKARANG
Tax/VAT Number,Nomor Pajak/PPN
"The coupon code ""%1"" is not valid.","Kode kupon ""%1"" tidak valid."
The coupon code isn't valid. Verify the code and try again.,Kode kupon tidak valid. Verifikasi kode dan coba lagi.
The Date of Birth should not be greater than today.,Tanggal Lahir tidak boleh lebih besar dari hari ini.
The password can't be the same as the email address. Create a new password and try again.,Kata sandi tidak boleh sama dengan alamat email. Buat kata sandi baru dan coba lagi.
The password doesn't match this account. Verify the password and try again.,Kata sandi tidak cocok dengan akun ini. Verifikasi kata sandi dan coba lagi.
The qty not available for,Kuantitas tidak tersedia
The quote item isn't found. Verify the item and try again.,Produk tidak ditemukan. Verifikasi produk dan coba lagi.
The requested qty exceeds the maximum qty allowed in shopping cart,Kuantitas yang diminta melebihi qty maksimum yang diperbolehkan di keranjang belanja
The requested qty is not available,Kuantitas yang diminta tidak tersedia
The requested sku is not assigned to given stock.,Sku yang diminta tidak ditetapkan ke stok yang diberikan.
The shipping address is missing. Set the address and try again.,Alamat pengiriman tidak ada. Atur alamat dan coba lagi.
There are no source items with the in stock status,Tidak ada produk sumber dengan status stok tersedia
This account isn't confirmed. Verify and try again.,Akun ini tidak dikonfirmasi. Verifikasi dan coba lagi
This email address is already subscribed.,Alamat email ini sudah berlangganan.
"This is embarassing but we can't seem to find the page you're looking for, Either the page doesn't exist or an error occured.Try refreshing your browser or going back to the previous page.","Ini memalukan tetapi kami tidak dapat menemukan halaman yang Anda cari, Entah halaman tersebut tidak ada atau terjadi kesalahan. Coba segarkan browser Anda atau kembali ke halaman sebelumnya."
This page didn't load Google Maps correctly. See the JavaScript console for technical details.,Halaman ini tidak memuat Google Maps dengan benar. Lihat konsol JavaScript untuk detail teknis.
This product is out of stock.,Produk ini sudah habis.
to,ke
TOPS & T-SHIRTS,ATASAN & T-SHIRTS
Very Strong,Sangat Kuat
View,Lihat
We can't find products matching the selection.,Kami tidak dapat menemukan produk yang cocok dengan pilihan.
We can't remove the item.,Kami tidak dapat menghapus produk tersebut.
We couldn't add the following product(s) to the shopping cart: %1.,Kami tidak dapat menambahkan produk berikut ke keranjang belanja: %1.
We ship your orders within 2 to 4 working days,Kami mengirimkan pesanan Anda dalam waktu 2 hingga 4 hari kerja
"What’s next? To return your purchase to domain.com, follow the step-by-step instructions below.","Apa berikutnya? Untuk mengembalikan pembelian Anda ke domain.com, ikuti petunjuk di bawah."
WIDTH,LEBAR
WILLOW SMITH | DISCOVER MORE,WILLOW SMITH | TEMUKAN LEBIH LANJUT
Women sizes run smaller.,Ukuran wanita lebih kecil.
Wrong Product Delivered,Produk Salah Dikirim
Wrong Product Description,Deskripsi Produk Salah
Wrong Product Ordered,Produk Salah Dipesan
You added [Product name] to your shopping cart.,Anda menambahkan [Nama produk] ke keranjang belanja Anda.
You canceled the coupon code.,Anda membatalkan kode kupon.
You have no items in your shopping cart.,Anda tidak memiliki produk di keranjang belanja Anda.
You have successfully signed up to receive Onitsuka Tiger newsletters.,Anda telah berhasil mendaftar untuk menerima newsletter Onitsuka Tiger.
You need to choose options for your item.,Anda harus memilih opsi untuk produk Anda.
You updated your password.,Anda memperbarui kata sandi Anda.
"You used coupon code ""%1"".","Anda menggunakan kode kupon ""%1""."
Your coupon was successfully applied.,Kupon Anda berhasil diterapkan.
Your coupon was successfully removed.,Kupon Anda berhasil dihapus.
Your order has been confirmed.,Pesanan Anda telah dikonfirmasi.
Your order has been placed.,Pesanan Anda telah dilakukan.
"Your order total does not yet include delivery charges, if applicable, which will be reflected at Checkout","Total pesanan Anda belum termasuk biaya pengiriman, jika berlaku, yang akan terlihat di Pembayaran"
"Your payment failed, Please try again later","Pembayaran Anda gagal, Silakan coba lagi nanti"
"Your request has been created and is pending approval. Store administrators will check it and inform you if the product(s) can be sent back. In case any details are needed, we will contact you. Please wait for further instructions.","Permohonan Anda telah dibuat dan menunggu persetujuan. Administrator toko akan memeriksanya dan memberi tahu Anda jika produk dapat dikirim kembali. Jika ada detil yang diperlukan, kami akan menghubungi Anda. Mohon menunggu petunjuk selanjutnya."
Cancel,Batalkan
Shipping Mode,Metode Pengiriman
STORE DETAIL,DETIL TOKO
Not specified,Tidak ditentukan
